date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:45	138336/138336	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-21c60%22	https://michelsinambela.github.io/assets/img/gallery/css.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/css.jpg	(from https://michelsinambela.github.io/)
13:40:45	158357/158357	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-26a95%22	https://michelsinambela.github.io/assets/img/gallery/html.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/html.jpg	(from https://michelsinambela.github.io/)
13:40:46	289567/289567	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-46b1f%22	https://michelsinambela.github.io/assets/img/gallery/python.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/python.jpg	(from https://michelsinambela.github.io/)
13:40:46	187982/187982	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-2de4e%22	https://michelsinambela.github.io/assets/img/gallery/corel.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/corel.jpg	(from https://michelsinambela.github.io/)
13:40:46	106070/106070	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-19e56%22	https://michelsinambela.github.io/assets/img/gallery/photoshop.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/photoshop.jpg	(from https://michelsinambela.github.io/)
13:40:48	78871/78871	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-13417%22	https://michelsinambela.github.io/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://michelsinambela.github.io/)
13:40:48	56222/56222	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-db9e%22	https://michelsinambela.github.io/assets/vendor/glightbox/js/glightbox.min.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/glightbox/js/glightbox.min.js	(from https://michelsinambela.github.io/)
13:40:48	158354/158354	---M--	200	added ('OK')	image/jpeg	etag:%2261666f04-26a92%22	https://michelsinambela.github.io/assets/img/gallery/figma.jpeg	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/img/gallery/figma.jpg	(from https://michelsinambela.github.io/)
13:40:48	2646/2646	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-a56%22	https://michelsinambela.github.io/assets/vendor/php-email-form/validate.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/php-email-form/validate.js	(from https://michelsinambela.github.io/)
13:40:49	4951/4951	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-1357%22	https://michelsinambela.github.io/assets/vendor/purecounter/purecounter.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/purecounter/purecounter.js	(from https://michelsinambela.github.io/)
13:40:49	135005/135005	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-20f5d%22	https://michelsinambela.github.io/assets/vendor/swiper/swiper-bundle.min.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/swiper/swiper-bundle.min.js	(from https://michelsinambela.github.io/)
13:40:49	5057/5057	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261666f04-13c1%22	https://michelsinambela.github.io/assets/js/main.js	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/js/main.js	(from https://michelsinambela.github.io/)
13:40:50	90528/90528	---M--	200	added ('OK')	font/woff2	etag:%2261666f04-161a0%22	https://michelsinambela.github.io/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff2	(from https://michelsinambela.github.io/assets/vendor/bootstrap-icons/bootstrap-icons.css)
13:40:50	120468/120468	---M--	200	added ('OK')	font/woff	etag:%2261666f04-1d694%22	https://michelsinambela.github.io/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?856008caa5eb66df68595e734e59580d	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff	(from https://michelsinambela.github.io/assets/vendor/bootstrap-icons/bootstrap-icons.css)
